54.568	-6.362	0.300	3.886
54.674	-6.363	0.300	3.885
54.792	-6.363	0.300	3.885
54.908	-6.362	0.300	3.886
55.022	-6.360	0.301	3.887
55.131	-6.357	0.301	3.890
55.246	-6.352	0.301	3.893
55.351	-6.347	0.301	3.897
55.462	-6.340	0.301	3.902
55.566	-6.333	0.301	3.907
55.672	-6.325	0.302	3.913
55.777	-6.316	0.302	3.920
55.893	-6.304	0.302	3.928
55.995	-6.294	0.303	3.936
56.099	-6.285	0.303	3.942
56.214	-6.275	0.303	3.950
56.332	-6.264	0.304	3.958
56.437	-6.254	0.304	3.965
56.543	-6.244	0.305	3.973
56.659	-6.232	0.305	3.981
56.768	-6.220	0.305	3.990
56.888	-6.207	0.306	3.999
57.006	-6.194	0.306	4.009
57.108	-6.186	0.307	4.015
57.210	-6.177	0.307	4.022
57.310	-6.169	0.307	4.028
57.419	-6.161	0.307	4.034
57.522	-6.153	0.308	4.040
57.627	-6.145	0.308	4.045
57.727	-6.138	0.308	4.051
57.839	-6.131	0.309	4.056
57.945	-6.124	0.309	4.062
58.051	-6.118	0.309	4.066
58.154	-6.112	0.309	4.070
58.260	-6.107	0.309	4.074
58.368	-6.102	0.310	4.078
58.486	-6.097	0.310	4.081
58.599	-6.093	0.310	4.085
58.704	-6.089	0.310	4.087
58.805	-6.086	0.310	4.089
58.908	-6.084	0.310	4.091
59.010	-6.081	0.310	4.093
59.125	-6.078	0.310	4.095
59.232	-6.076	0.311	4.097
59.347	-6.073	0.311	4.099
59.453	-6.071	0.311	4.101
59.567	-6.069	0.311	4.102
59.673	-6.068	0.311	4.104
59.775	-6.066	0.311	4.104
59.877	-6.065	0.311	4.105
59.982	-6.064	0.311	4.106
60.083	-6.063	0.311	4.107
60.201	-6.062	0.311	4.108
60.302	-6.061	0.311	4.109
60.404	-6.060	0.311	4.109
60.505	-6.059	0.311	4.110
60.609	-6.059	0.311	4.110
60.724	-6.058	0.311	4.111
60.827	-6.057	0.311	4.111
60.928	-6.057	0.311	4.111
61.033	-6.057	0.311	4.112
61.139	-6.056	0.311	4.112
61.247	-6.056	0.311	4.112
61.354	-6.055	0.311	4.113
61.456	-6.055	0.311	4.113
61.568	-6.055	0.311	4.113
61.671	-6.054	0.311	4.113
61.788	-6.054	0.311	4.114
61.898	-6.054	0.311	4.114
62.008	-6.054	0.311	4.114
62.112	-6.054	0.311	4.114
62.213	-6.054	0.311	4.114
62.327	-6.053	0.311	4.114
62.430	-6.053	0.311	4.114
62.543	-6.053	0.311	4.114
62.663	-6.053	0.311	4.115
62.769	-6.053	0.311	4.115
62.876	-6.053	0.311	4.115
62.983	-6.053	0.311	4.115
63.087	-6.053	0.311	4.115
63.198	-6.053	0.311	4.115
63.301	-6.053	0.311	4.115
63.413	-6.052	0.311	4.115
63.514	-6.052	0.311	4.115
63.619	-6.052	0.311	4.115
63.730	-6.052	0.311	4.115
63.830	-6.052	0.311	4.115
63.939	-6.052	0.311	4.115
64.049	-6.053	0.311	4.115
64.166	-6.054	0.311	4.114
64.286	-6.056	0.311	4.113
64.405	-6.057	0.311	4.111
64.507	-6.059	0.311	4.110
64.620	-6.061	0.311	4.109
64.722	-6.063	0.311	4.107
64.824	-6.065	0.311	4.105
64.941	-6.068	0.311	4.103
65.043	-6.071	0.311	4.101
65.146	-6.076	0.311	4.097
65.256	-6.081	0.310	4.093
65.361	-6.087	0.310	4.089
65.477	-6.094	0.310	4.084
65.580	-6.100	0.310	4.079
65.684	-6.107	0.309	4.074
65.803	-6.116	0.309	4.067
65.905	-6.125	0.309	4.061
66.020	-6.134	0.308	4.054
66.123	-6.143	0.308	4.047
66.233	-6.153	0.308	4.040
66.342	-6.164	0.307	4.032
66.464	-6.177	0.307	4.022
